,Marca temporal,Dirección de correo electrónico,Escribe el nombre del taller ,El lenguaje de los taller fue adecuado ,Se distinguió los objetivos del taller,Fueron claras las instrucciones de los talleres,¿Qué tan ameno te pareció el taller?,Los talleres te motivaron a seguir indagando en el tema,Si tienes comentarios y/o sugerencias acerca de los talleres son bienvenidos.,El lenguaje de las secuencias didácticas te pareció apropiado,Se distinguió los objetivos de las secuencias didácticas,Fueron claros los conceptos que se formalizaron en las secuencias didácticas,¿Qué tan complicado te pareció la formalización de los conceptos en las secuencias didácticas?,¿Qué tan apropiado fue introducir los conceptos formales a partir de los talleres?,Si tienes comentarios y/o sugerencias son bienvenidos,El lenguaje de los talleres fue adecuado ,Se distinguieron los objetivos del taller
5,21/07/2022 16:22:43,,Junto con Conjuntos,,,1,1,1,"Me gustó mucho que fue demasiado didáctico y no sólo dieron definiciones sobre el tema, además compartieron libros que servirán para los primeros semestres de la carrera, incitando las participaciones del grupo.",Mucho,Mucho,Mucho,Poco,Poco,Excelente taller.,1.0,1.0
6,21/07/2022 16:22:48,,Juntos con Conjuntos,,,2,1,1,"Buenas propuestas de actividades pero un tanto confuso la ejecución, fuera de eso todo increíble.",Mucho,Mucho,Mucho,Poco,Mucho,"Ninguno, todo muy bien",1.0,2.0
7,21/07/2022 16:22:50,,Juntos con conjuntos ,,,1,1,1,"Me gustó mucho el taller, repasé cosas que se me habían olvidado por completo y aprendí muchas cosas también. fue un taller muy ameno y las instructoras muy inteligentes y agradables 10/10 ",Mucho,Mucho,Mucho,Poco,Mucho,clases muy completas!:),1.0,1.0
8,21/07/2022 16:23:05,,Conjuntos ?,,,1,1,1,"Sofia, a veces te ponías un poco nerviosa y no encontrabas las palabras para explicar un tema, te recomiendo ver el vídeo de alguien más explicando ese tema para que no te pase eso, muchas gracias s todas por su tiempo ",Mucho,Mucho,Mucho,Poco,Mucho,Sin comentarios ,1.0,1.0
9,21/07/2022 16:23:50,,Juntos con conjuntos ,,,1,3,3,"Creo que faltó que dieran como un ""puente"" por así decir para llegar de la intuición a algo más formal ya que pienso que cuando llegamos a lo que era más formal estuvo muy golpeado jeje pero de ahí en fuera estuvo bien :))",Mucho,Poco,Mucho,Poco,Poco,Ninguno ,2.0,3.0
10,21/07/2022 16:23:59,,Juntos con conjuntos ,,,1,2,2,considero que fue buena la explicación y el material de apoyo dado ,Mucho,Mucho,Mucho,Mucho,Mucho,todo me pareció muy bien ,2.0,2.0
11,21/07/2022 16:24:46,,Juntos con conjuntos,,,1,1,1,"Sólo me gustaría agradecer la labor y dinámica de los ponentes, realmente dan pauta a que despertemos genuino entusiasmo a temas complejos  ",Mucho,Mucho,Mucho,Poco,Mucho,"El material usado facilitó mucho el aprendizaje formal, acertadamente pedagógico",1.0,1.0
0,21/07/2022 12:15:17,,Probabilidad ,2.0,2.0,2,2,2,Ningún comentario ,Mucho,Mucho,Mucho,Poco,Mucho,Ningún comentario ,,
1,21/07/2022 12:17:33,,Carrera de probabilidades con Mario Kart,1.0,1.0,1,1,1,Muy buena explicación por parte de los instructores,Mucho,Mucho,Mucho,Poco,Mucho,Fueron muy claras las explicaciones y había espacio para preguntar dudas,,
2,21/07/2022 12:17:38,,carrera de probabilidades con Mario Kart ,1.0,1.0,1,1,1,ninguna estuvo muy interesante el taller ,Mucho,Mucho,Mucho,Poco,Mucho,ninguna ,,
3,21/07/2022 12:17:38,,Carrera de probabilidad con Mario Kart,1.0,2.0,1,1,2,Me gustaría profundizar un poco más en los temas,Mucho,Mucho,Mucho,Poco,Mucho,Me gustó el taller :),,
4,21/07/2022 12:17:54,,Carrera de Probabilidades,1.0,1.0,1,1,1,"Excelente dinámica del taller, me interesó muchísimo. Muchas gracias ",Mucho,Mucho,Mucho,Poco,Mucho,"Tal vez un poco más de teoría estaría perfecto, aunque  todo me agrado bastante ",,
5,21/07/2022 12:18:05,,Carrera de probabilidades con Mario Kart,1.0,1.0,1,1,1,Me agrado mucho el taller,Mucho,Mucho,Mucho,Poco,Mucho,El taller fue muy bueno y me pareció sencillo de aprender.,,
6,21/07/2022 12:18:45,,Carrera de probabilidades con Mario Kart,1.0,1.0,1,1,1,"A mi me gustó mucho el taller de probabilidad, ya que los temas fueron claros y los instructores hacían amenas las sesiones. ",Mucho,Mucho,Mucho,Poco,Mucho,Me pareció un buen taller para reforzar conocimientos. ,,
7,21/07/2022 12:19:01,,Carrera de Probabilidad,1.0,1.0,2,1,1,Todo el material estuvo perfecto:),Mucho,Mucho,Mucho,Poco,Mucho,"Sencillas, pero muy buenas explicaciones",,
8,21/07/2022 12:19:28,,Carrera de probabilidad con Mario Kart,1.0,2.0,1,1,2,"Aunque antes no me había llamado la atención la probabilidad, el taller me pareció divertido y una buena introducción al tema.",Mucho,Mucho,Mucho,Poco,Mucho,"En general estuvo bien organizado el taller, los conceptos quedaron claros aunque tal vez se pudo incluir un ejercicio más cuando vimos la parte teórica.",,
9,21/07/2022 12:20:56,,Mario Kart y probabilidades ,1.0,3.0,3,2,1,"Fue muy divertido, y los instructores igual con muy buena actitud pero aún me quedaron algunas  dudas  que no pude expresar porque ya es parte de mi aprendizaje ,sobre el tema en general.",Mucho,Mucho,Poco,Poco,Poco,.,,
10,21/07/2022 12:21:39,,Carrera de probabilidades con Mario Kart,1.0,1.0,1,1,2,Todo muy bien,Mucho,Mucho,Mucho,Poco,Mucho,Todo bien,,
11,21/07/2022 12:22:49,,Carrera de Probabilidades con Mario Kart.,5.0,5.0,5,5,5,Dar bibliografia de materias de tronco comun,Mucho,Mucho,Mucho,Poco,Mucho,Formar los grupos con aspirantes de una misma carrera,,
12,21/07/2022 12:22:52,,carrera de probabilidades con Mario kart ,5.0,5.0,5,5,5,todo bien,Mucho,Mucho,Mucho,Mucho,Mucho,todo bien ,,
0,21/07/2022 12:15:17,,Los caminos del infinito (no son como yo pensaba).,1.0,1.0,1,1,1,Unicamente pienso que para la información que se nos dio no requeríamos mucho tiempo,Mucho,Mucho,Mucho,Poco,Poco,Me gustaria que si ya vamos a estar dos horas que hubiera mas información,,
1,21/07/2022 12:15:27,,Los caminos del infinito (no son como yo pensaba),1.0,1.0,1,1,1,"Por ahora todo bien, el instructor nos presentó el tema de una manera didáctica y comprensible.",Mucho,Mucho,Mucho,Poco,Mucho,"Todo bien , me gustó el taller:)",,
2,21/07/2022 12:15:58,,Los caminos del infinito (no son lo que yo pensaba).,1.0,1.0,1,2,2,"El taller me gusto mucho, las actividades en equipo y también como explicaron el tema.",Mucho,Mucho,Mucho,Poco,Mucho,Todo fue claro en las explicaciones y de igual manera los temas.,,
3,21/07/2022 12:16:20,,Los caminos del infinito (no son lo que yo pensaba),1.0,2.0,1,1,1,Fue un muy buen taller,Mucho,Mucho,Mucho,Poco,Mucho,"No tengo ningun comentario, me encantó el taller",,
4,21/07/2022 12:16:53,,Los caminos del infinito (no son como yo pensaba). ,2.0,1.0,1,1,2,no,Mucho,Mucho,Mucho,Mucho,Mucho,no,,
5,21/07/2022 12:16:56,,Los caminos del infinito,5.0,5.0,4,5,5,Que entregaran un pdf con la info del taller.,Mucho,Mucho,Mucho,Mucho,Mucho,-,,
6,21/07/2022 12:17:11,,Los caminos del infinito (no son como yo pensaba),1.0,1.0,1,1,1,Añadir más ejemplos o ejercicios ,Mucho,Poco,Mucho,Mucho,Mucho,Concluir con una plantilla que resuma todo lo visto,,
7,21/07/2022 12:17:15,,Los caminos del infinito (no son lo que yo pensaba),1.0,1.0,1,1,1,"Me gustó mucho el taller ya que fue muy divertido y didáctico, aprendí conceptos que había visto o escuchado con anterioridad pero de una forma mucho más clara, además seguí investigando del tema.",Mucho,Mucho,Mucho,Poco,Mucho,Estuvo fácil entender la formalización de los conceptos.,,
8,21/07/2022 12:17:17,,Los caminos del infinito (no son lo que yo pensaba).,1.0,1.0,2,1,1,De momento no tendría sugerencia esta bastante bien ,Mucho,Mucho,Mucho,Poco,Mucho,no tendría sugerencia,,
9,21/07/2022 12:17:53,,Los caminos del infinito no son lo que yo pensaba,1.0,1.0,1,1,1,"En realidad el taller me pareció muy interesante. Creo que los ejemplos y las explicaciones fueron bastante claras y en realidad era muy entretenido, por lo que no resultaba pesado",Mucho,Mucho,Mucho,Poco,Mucho,"Me parece bien que el taller sea dado por estudiantes, ya que creó que comprenden mejor nuestras dificultades o inquietudes, e incluso poseen herramientas para hacerlo más dinámico y entretenido",,
10,21/07/2022 12:18:02,,Los caminos del infinito (no son lo que yo pensaba).,1.0,1.0,1,1,1,"Ninguna, todo me pareció muy bien.",Mucho,Mucho,Mucho,Poco,Mucho,"Ninguno, todo me quedo claro y me parecio muy didactico ",,
11,21/07/2022 12:18:06,,Los caminos del infinito (no son lo que yo pensaba),1.0,1.0,1,1,1,"No tengo sugerencias, ya que el taller se sintió muy ameno, y dinámico con las actividades realizadas ",Mucho,Mucho,Mucho,Poco,Mucho,Sin comentarios ,,
12,21/07/2022 14:03:48,,"Probabilidad, con Mario kart ",1.0,1.0,1,1,1,Me gustó ,Mucho,Mucho,Mucho,Mucho,Mucho,Ninguno ,,
0,21/07/2022 12:19:00,,Aliens mentirosos,2.0,2.0,1,1,2,Muy buen taller,Mucho,Poco,Mucho,Poco,Mucho,-,,
1,21/07/2022 12:19:19,,Cursos Propedéuticos Facultad de Ciencias ,4.0,3.0,4,3,3,Todo bien,Mucho,Poco,Mucho,Mucho,Poco,"Me ha gustado mucho el taller y la secuencia didáctica, únicamente se me ha complicado que es muy rápido y me cuesta analizar los conceptos nuevos",,
2,21/07/2022 12:19:29,,Secuencias didacticas,1.0,1.0,1,1,1,Me pareció bastante agradable y eficiente,Mucho,Mucho,Mucho,Poco,Mucho,Me pareció bastante agradable y eficiente,,
3,21/07/2022 12:19:51,,Curso Propedéutico Facultad de Ciencias,5.0,5.0,5,5,5,Me parecieron correctas las dos clases que he tomado por que vemos definiciones pero también son didácticas,Mucho,Mucho,Mucho,Mucho,Mucho,Todo esta super bien con los talleres hasta ahora,,
4,21/07/2022 12:20:27,,Aliens Mentirosos,1.0,1.0,1,1,2,"Me pareció  interesante que y ameno que el material que se nos brindó fuera elaborada a manera de ""Apuntes en vivo"" lo que puedo decir que ayuda en gran parte a estar mas atentos a la información que nos daban.",Mucho,Mucho,Mucho,Poco,Mucho,"Todo me pareció muy bien planeado, además que los instructores siempre se mostraron con la mejor disposición para resolver cualquier duda o pregunta que teníamos. ",,
5,21/07/2022 12:21:24,,Aliens mentirosos.,1.0,1.0,1,1,1,Las clases fueron muy didácticas y me gustaron mucho.,Mucho,Mucho,Mucho,Poco,Mucho,Todas las actividades fueron muy amenas,,
6,21/07/2022 12:22:20,,Aliens mentirosos ,1.0,1.0,1,1,1,"El taller estuvo excelente, no cambiaría nada ",Mucho,Mucho,Mucho,Poco,Mucho,La forma en que explicaron los temas fue la adecuada ,,
7,21/07/2022 12:23:15,,Aliens mentirosos,2.0,2.0,2,3,3,Personalmente pienso que es más complicado entender o explicar las tablas de verdad con la analogía de los aliens.,Mucho,Mucho,Poco,Poco,Poco,Personalmente pienso que es más complicado entender o explicar las tablas de verdad con la analogía de los aliens. También pienso que pueden haber mejores formas de introducir el tema de tablas de verdad.,,
0,21/07/2022 12:04:11,,Un algoritmo para calcular el día del fin del mundo ,4.0,5.0,4,3,2,Me gustó el taller,Mucho,Mucho,Mucho,Poco,Mucho,Estuvo interesante conocer el concepto de inducción,,
1,21/07/2022 12:04:37,,un algoritmo para calcular el fin del mundo,2.0,1.0,1,1,1,"me pareció muy bueno, y me divertí mucho con los instructores y su forma de darnos las sesiones",Mucho,Mucho,Mucho,Poco,Mucho,"solo lo dicho anteriormente, muy bueno el curso",,
2,21/07/2022 12:04:38,,El algoritmo para calcular el fin del mundo. ,1.0,1.0,1,1,2,Muy bonito taller :). ,Mucho,Mucho,Mucho,Mucho,Mucho,Me gustó mucho el taller :). ,,
3,21/07/2022 12:05:00,,Aliens mentirosos,1.0,1.0,1,2,3,No tengo por el momento ninguna sugerencia ,Mucho,Mucho,Mucho,Poco,Mucho,No,,
4,21/07/2022 12:05:34,,Un algoritmo para calcular el fin del mundo,1.0,1.0,1,1,1,Esta muy bien,Mucho,Mucho,Mucho,Poco,Mucho,Sin comentarios ,,
5,21/07/2022 12:06:41,,Un algoritmo para calcular el día del fin del mundo,1.0,1.0,1,2,2,"Estuvo padre, ligeramente confuso en la parte de recursión, pero muy bueno en general :)",Mucho,Mucho,Mucho,Poco,Mucho,"No tengo comentarios, estuvo bien :)",,
6,21/07/2022 12:06:42,,Un algoritmo para calcular el día del fin del mundo,2.0,3.0,1,3,3,"Me gusto el como se expresaban pero hubo partes en las que no hacían muy interactivas la explicación, entonces era tedioso y un poco pesado seguir la idea, pero por lo general fue muy bueno",Mucho,Poco,Mucho,Poco,Mucho,.,,
